,order_id,order_date,ship_date,ship_mode,customer_id
72,US-2012-134026,2012-04-26,2012-05-02,Standard Class,JE-15745
75,US-2014-118038,2014-12-10,2014-12-12,First Class,KB-16600
78,US-2011-147606,2011-11-26,2011-12-01,Second Class,JE-15745
79,CA-2013-127208,2013-06-13,2013-06-16,First Class,SC-20770
81,CA-2011-139451,2011-10-12,2011-10-16,Standard Class,DN-13690
83,CA-2012-149734,2012-09-03,2012-09-08,Standard Class,JC-16105
84,US-2014-119662,2014-11-14,2014-11-17,First Class,CS-12400
85,CA-2014-140088,2014-05-29,2014-05-31,Second Class,PO-18865
86,CA-2014-155558,2014-10-27,2014-11-03,Standard Class,PG-18895
88,CA-2013-159695,2013-04-06,2013-04-11,Second Class,GM-14455
89,CA-2013-109806,2013-09-18,2013-09-23,Standard Class,JS-15685
92,CA-2012-149587,2012-01-31,2012-02-05,Second Class,KB-16315
95,US-2014-109484,2014-11-07,2014-11-13,Standard Class,RB-19705
96,CA-2014-161018,2014-11-10,2014-11-12,Second Class,PN-18775
97,CA-2014-157833,2014-06-18,2014-06-21,First Class,KD-16345
98,CA-2013-149223,2013-09-07,2013-09-12,Standard Class,ER-13855
99,CA-2013-158568,2013-08-30,2013-09-03,Standard Class,RB-19465
102,CA-2013-129903,2013-12-02,2013-12-05,Second Class,GZ-14470
103,US-2012-156867,2012-11-13,2012-11-17,Standard Class,LC-16870
106,CA-2014-119004,2014-11-24,2014-11-29,Standard Class,JM-15250
109,CA-2012-129476,2012-10-15,2012-10-20,Standard Class,PA-19060
110,CA-2014-146780,2014-12-26,2014-12-31,Standard Class,CV-12805
111,CA-2013-128867,2013-11-04,2013-11-11,Standard Class,CL-12565
113,CA-2011-115259,2011-08-25,2011-08-27,Second Class,RC-19960
117,CA-2012-110457,2012-03-02,2012-03-06,Standard Class,DK-13090
118,US-2012-136476,2012-04-05,2012-04-10,Standard Class,GG-14650
119,CA-2013-103730,2013-06-13,2013-06-16,First Class,SC-20725
124,US-2011-152030,2011-12-26,2011-12-28,Second Class,AD-10180
125,US-2011-134614,2011-09-20,2011-09-25,Standard Class,PF-19165
126,US-2014-107272,2014-11-06,2014-11-13,Standard Class,TS-21610
128,US-2013-125969,2013-11-07,2013-11-11,Second Class,LS-16975
130,US-2014-164147,2014-02-03,2014-02-06,First Class,DW-13585
133,CA-2013-145583,2013-10-14,2013-10-20,Standard Class,LC-16885
140,CA-2013-110366,2013-09-06,2013-09-08,Second Class,JD-15895
141,CA-2014-106180,2014-09-19,2014-09-24,Standard Class,SH-19975
144,CA-2014-155376,2014-12-23,2014-12-28,Standard Class,SG-20080
145,CA-2012-110744,2012-09-07,2012-09-12,Standard Class,HA-14920
146,CA-2011-110072,2011-10-22,2011-10-28,Standard Class,MG-17680
147,CA-2013-114489,2013-12-06,2013-12-10,Standard Class,JE-16165
151,CA-2013-158834,2013-03-14,2013-03-17,First Class,TW-21025
153,CA-2012-124919,2012-05-31,2012-06-02,First Class,SP-20650
156,CA-2012-118948,2012-05-28,2012-06-03,Standard Class,NK-18490
157,CA-2011-104269,2011-03-01,2011-03-06,Second Class,DB-13060
158,CA-2013-114104,2013-11-21,2013-11-25,Standard Class,NP-18670
160,CA-2013-162733,2013-05-12,2013-05-13,First Class,TT-21070
161,CA-2012-119697,2012-12-28,2012-12-31,Second Class,EM-13960
162,CA-2013-154508,2013-11-17,2013-11-21,Standard Class,RD-19900
163,CA-2013-113817,2013-11-08,2013-11-12,Standard Class,MJ-17740
164,CA-2011-139892,2011-09-08,2011-09-12,Standard Class,BM-11140
171,CA-2011-118962,2011-08-05,2011-08-09,Standard Class,CS-12130
174,US-2011-100853,2011-09-14,2011-09-19,Standard Class,JB-15400
176,US-2014-152366,2014-04-22,2014-04-26,Second Class,SJ-20500
177,US-2012-101511,2012-11-21,2012-11-23,Second Class,JE-15745
179,CA-2012-137225,2012-12-15,2012-12-19,Standard Class,JK-15640
180,CA-2011-166191,2011-12-05,2011-12-09,Second Class,DK-13150
182,CA-2011-158274,2011-11-19,2011-11-24,Second Class,RM-19675
185,CA-2013-105018,2013-11-29,2013-12-03,Standard Class,SK-19990
186,CA-2011-123260,2011-08-26,2011-08-30,Standard Class,FM-14290
187,CA-2013-157000,2013-07-17,2013-07-23,Standard Class,AM-10360
189,CA-2012-102281,2012-10-12,2012-10-14,First Class,MP-17470
194,CA-2012-131457,2012-10-31,2012-11-06,Standard Class,MZ-17515
195,CA-2011-140004,2011-03-21,2011-03-25,Standard Class,CB-12025
197,CA-2014-107720,2014-11-07,2014-11-14,Standard Class,VM-21685
198,US-2014-124303,2014-07-07,2014-07-14,Standard Class,FH-14365
200,CA-2014-105074,2014-06-25,2014-06-30,Standard Class,MB-17305
201,CA-2011-133690,2011-08-03,2011-08-05,First Class,BS-11755
203,US-2014-116701,2014-12-18,2014-12-22,Second Class,LC-17140
204,CA-2014-126382,2014-06-04,2014-06-08,Standard Class,HK-14890
205,CA-2014-108329,2014-12-10,2014-12-15,Standard Class,LE-16810
206,CA-2014-135860,2014-12-02,2014-12-08,Standard Class,JH-15985
211,CA-2012-101007,2012-02-09,2012-02-13,Second Class,MS-17980
212,CA-2012-146262,2012-01-02,2012-01-09,Standard Class,VW-21775
217,CA-2013-130162,2013-10-29,2013-11-02,Standard Class,JH-15910
219,CA-2012-169397,2012-12-24,2012-12-27,First Class,JB-15925
225,CA-2012-163055,2012-08-09,2012-08-16,Standard Class,DS-13180
228,US-2012-145436,2012-02-28,2012-03-04,Standard Class,VD-21670
230,US-2011-156216,2011-09-13,2011-09-17,Standard Class,EA-14035
231,US-2014-100930,2014-04-08,2014-04-13,Standard Class,CS-12400
236,CA-2014-160514,2014-11-13,2014-11-17,Standard Class,DB-13120
237,CA-2013-157749,2013-06-05,2013-06-10,Second Class,KL-16645
244,CA-2011-131926,2011-06-01,2011-06-06,Second Class,DW-13480
249,CA-2013-154739,2013-12-11,2013-12-16,Second Class,LH-17155
250,CA-2013-145625,2013-09-12,2013-09-18,Standard Class,KC-16540
252,CA-2013-146941,2013-12-11,2013-12-14,First Class,DL-13315
254,US-2012-159982,2012-11-28,2012-12-04,Standard Class,DR-12880
258,CA-2014-163139,2014-12-02,2014-12-04,Second Class,CC-12670
261,US-2014-155299,2014-06-09,2014-06-13,Standard Class,Dl-13600
262,US-2011-106992,2011-09-19,2011-09-21,Second Class,SB-20290
264,CA-2013-125318,2013-06-07,2013-06-14,Standard Class,RC-19825
265,CA-2012-155040,2012-11-10,2012-11-15,Standard Class,AH-10210
266,CA-2014-136826,2014-06-17,2014-06-21,Standard Class,CB-12535
267,CA-2013-111010,2013-01-22,2013-01-28,Standard Class,PG-18895
268,US-2014-145366,2014-12-10,2014-12-14,Standard Class,CA-12310
270,CA-2014-163979,2014-12-29,2015-01-03,Second Class,KH-16690
271,CA-2012-155334,2012-07-30,2012-07-31,First Class,HA-14920
274,CA-2014-118136,2014-09-17,2014-09-18,First Class,BB-10990
276,CA-2014-132976,2014-10-14,2014-10-18,Standard Class,AG-10495
280,US-2012-161991,2012-09-26,2012-09-28,Second Class,SC-20725
282,CA-2012-130890,2012-11-02,2012-11-06,Standard Class,JO-15280
283,CA-2012-130883,2012-09-26,2012-10-02,Standard Class,TB-21520
286,CA-2013-112697,2013-12-19,2013-12-21,Second Class,AH-10195
289,CA-2013-110772,2013-11-21,2013-11-25,Second Class,NZ-18565
293,CA-2011-111451,2011-12-26,2011-12-28,First Class,KL-16555
298,CA-2013-142545,2013-10-29,2013-11-04,Standard Class,JD-15895
303,US-2014-152380,2014-11-20,2014-11-24,Standard Class,JH-15910
304,CA-2012-144253,2012-05-04,2012-05-09,Second Class,AS-10225
305,CA-2011-130960,2011-12-30,2012-01-04,Standard Class,KB-16600
306,CA-2011-111003,2011-06-01,2011-06-06,Standard Class,CR-12625
308,CA-2014-126774,2014-04-16,2014-04-18,First Class,SH-20395
309,CA-2013-142902,2013-09-13,2013-09-15,Second Class,BP-11185
313,CA-2011-120887,2011-09-27,2011-10-03,Standard Class,TS-21205
314,CA-2011-167850,2011-08-09,2011-08-16,Standard Class,AG-10525
316,CA-2011-164259,2011-12-28,2011-12-30,First Class,SP-20860
317,CA-2011-164973,2011-11-04,2011-11-09,Standard Class,NM-18445
322,CA-2011-156601,2011-09-19,2011-09-24,Standard Class,FA-14230
323,CA-2013-162138,2013-04-24,2013-04-28,Standard Class,GK-14620
325,CA-2014-153339,2014-11-04,2014-11-06,Second Class,DJ-13510
326,US-2013-141544,2013-08-31,2013-09-02,First Class,PO-18850
331,US-2013-150147,2013-04-26,2013-04-30,Second Class,JL-15850
334,CA-2012-137946,2012-09-01,2012-09-04,Second Class,DB-13615
337,CA-2011-129924,2011-07-12,2011-07-17,Standard Class,AC-10420
339,CA-2012-128167,2012-06-22,2012-06-26,Second Class,KL-16645
340,CA-2011-122336,2011-04-13,2011-04-17,Second Class,JD-15895
344,US-2012-120712,2012-12-20,2012-12-24,Standard Class,CS-12130
345,CA-2014-169901,2014-06-16,2014-06-20,Standard Class,CC-12550
346,CA-2014-134306,2014-07-09,2014-07-13,Standard Class,TD-20995
349,CA-2013-129714,2013-09-02,2013-09-04,First Class,AB-10060
354,CA-2013-138520,2013-04-09,2013-04-14,Standard Class,JL-15505
358,CA-2013-130001,2013-04-24,2013-04-29,Standard Class,HK-14890
359,CA-2014-155698,2014-03-09,2014-03-12,First Class,VB-21745
361,CA-2014-144904,2014-09-26,2014-10-02,Standard Class,KW-16435
365,CA-2011-123344,2011-09-24,2011-09-29,Standard Class,JD-16060
366,CA-2013-155516,2013-10-22,2013-10-22,Same Day,MK-17905
370,CA-2014-104745,2014-05-30,2014-06-05,Standard Class,GT-14755
372,US-2011-119137,2011-07-23,2011-07-27,Standard Class,AG-10900
376,US-2013-134656,2013-09-29,2013-10-02,First Class,MM-18280
377,US-2014-134481,2014-08-28,2014-09-02,Standard Class,AR-10405
378,CA-2012-130792,2012-04-28,2012-05-05,Standard Class,RA-19915
381,CA-2013-134775,2013-10-29,2013-10-30,First Class,AS-10285
383,CA-2012-125395,2012-06-26,2012-06-29,Second Class,LA-16780
384,US-2012-168935,2012-11-27,2012-12-02,Standard Class,DO-13435
386,CA-2012-122756,2012-12-03,2012-12-07,Standard Class,DK-13225
388,CA-2011-115973,2011-11-24,2011-11-26,First Class,NG-18430
389,CA-2014-101798,2014-12-12,2014-12-16,Standard Class,MV-18190
391,US-2011-135972,2011-09-21,2011-09-23,Second Class,JG-15115
393,US-2011-134971,2011-06-07,2011-06-10,Second Class,BP-11095
394,CA-2014-102946,2014-07-01,2014-07-06,Standard Class,VP-21730
395,CA-2014-165603,2014-10-18,2014-10-20,Second Class,SS-20140
397,CA-2012-122259,2012-10-31,2012-11-04,Standard Class,HP-14815
398,CA-2013-108987,2013-09-09,2013-09-11,Second Class,AG-10675
402,CA-2011-113166,2011-12-24,2011-12-26,First Class,LF-17185
403,CA-2011-155208,2011-04-16,2011-04-20,Standard Class,SP-20650
404,CA-2014-117933,2014-12-25,2014-12-30,Standard Class,RF-19840
405,CA-2014-117457,2014-12-09,2014-12-13,Standard Class,KH-16510
414,CA-2014-142636,2014-11-04,2014-11-08,Standard Class,KC-16675
416,CA-2014-122105,2014-06-25,2014-06-29,Standard Class,CJ-12010
417,CA-2013-148796,2013-04-15,2013-04-19,Standard Class,PB-19150
418,CA-2014-154816,2014-11-07,2014-11-11,Standard Class,VB-21745
419,CA-2014-110478,2014-03-05,2014-03-10,Standard Class,SP-20860
421,CA-2011-142048,2011-06-22,2011-06-25,First Class,JE-15745
422,CA-2014-125388,2014-10-20,2014-10-24,Standard Class,MP-17965
424,CA-2014-155705,2014-08-22,2014-08-24,Second Class,NF-18385
425,CA-2014-149160,2014-11-24,2014-11-27,Second Class,JM-15265
427,CA-2011-101476,2011-09-12,2011-09-13,First Class,SD-20485
428,CA-2014-152275,2014-10-02,2014-10-09,Standard Class,KH-16630
429,US-2013-123750,2013-04-16,2013-04-22,Standard Class,RB-19795
433,CA-2013-127369,2013-06-07,2013-06-08,First Class,DB-13060
434,US-2011-150574,2011-12-19,2011-12-25,Standard Class,MK-18160
436,CA-2013-147375,2013-06-13,2013-06-15,Second Class,PO-19180
438,CA-2014-130043,2014-09-16,2014-09-20,Standard Class,BB-11545
439,CA-2014-157252,2014-01-21,2014-01-24,Second Class,CV-12805
440,CA-2013-115756,2013-09-06,2013-09-08,Second Class,PK-19075
446,CA-2014-154214,2014-03-21,2014-03-26,Second Class,TB-21595
447,CA-2013-166674,2013-04-02,2013-04-04,Second Class,RB-19360
453,CA-2014-147277,2014-10-21,2014-10-25,Standard Class,EB-13705
455,CA-2013-100153,2013-12-14,2013-12-18,Standard Class,KH-16630
456,US-2011-110674,2011-02-13,2011-02-19,Standard Class,SC-20095
457,US-2013-157945,2013-09-27,2013-10-02,Standard Class,NF-18385
459,CA-2012-109638,2012-12-15,2012-12-22,Standard Class,JH-15985
462,CA-2013-109869,2013-04-23,2013-04-30,Standard Class,TN-21040
467,US-2012-101399,2012-01-17,2012-01-24,Standard Class,JS-15940
468,CA-2014-154907,2014-04-01,2014-04-05,Standard Class,DS-13180
469,US-2013-100419,2013-12-17,2013-12-21,Second Class,CC-12670
470,CA-2012-154144,2012-12-20,2012-12-24,Standard Class,MH-17785
471,CA-2011-144666,2011-11-09,2011-11-11,Second Class,JP-15520
477,CA-2013-103891,2013-07-13,2013-07-20,Standard Class,KH-16690
478,CA-2013-152632,2013-10-28,2013-11-03,Standard Class,JE-15475
479,CA-2013-100790,2013-06-27,2013-07-03,Standard Class,JG-15805
481,CA-2011-134677,2011-10-06,2011-10-10,Standard Class,XP-21865
482,CA-2011-127691,2011-07-22,2011-07-27,Standard Class,EM-14065
484,CA-2014-140963,2014-06-11,2014-06-14,First Class,MT-18070
487,CA-2011-154627,2011-10-29,2011-10-31,First Class,SA-20830
488,CA-2011-133753,2011-06-09,2011-06-13,Second Class,CW-11905
491,CA-2011-113362,2011-09-14,2011-09-19,Standard Class,AJ-10960
493,CA-2013-169166,2013-05-10,2013-05-15,Standard Class,SS-20590
494,US-2013-120929,2013-03-19,2013-03-22,Second Class,RO-19780
495,CA-2012-134782,2012-12-27,2012-12-31,Standard Class,MD-17350
496,CA-2013-126158,2013-07-26,2013-08-01,Standard Class,SC-20095
500,US-2013-105578,2013-05-31,2013-06-05,Standard Class,MY-17380
505,CA-2014-134978,2014-11-13,2014-11-16,Second Class,EB-13705
506,CA-2012-145352,2012-03-16,2012-03-22,Standard Class,CM-12385
510,CA-2014-135307,2014-11-27,2014-11-28,First Class,LS-17245
512,CA-2013-106341,2013-10-21,2013-10-24,First Class,LF-17185
513,CA-2014-163405,2014-12-22,2014-12-26,Standard Class,BN-11515
515,CA-2014-127432,2014-01-23,2014-01-28,Standard Class,AD-10180
519,CA-2012-157812,2012-03-22,2012-03-26,Standard Class,DB-13210
522,CA-2014-145142,2014-01-24,2014-01-26,First Class,MC-17605
523,US-2013-139486,2013-05-22,2013-05-24,First Class,LH-17155
525,CA-2012-158792,2012-12-26,2013-01-02,Standard Class,BD-11605
526,CA-2014-113558,2014-10-22,2014-10-27,Standard Class,PH-18790
528,US-2012-138303,2012-09-03,2012-09-07,Standard Class,MG-18145
531,CA-2012-102848,2012-11-07,2012-11-09,Second Class,KB-16240
532,US-2014-129441,2014-09-08,2014-09-12,Standard Class,JC-15340
533,CA-2013-168753,2013-05-30,2013-06-02,Second Class,RL-19615
535,CA-2013-126613,2013-07-11,2013-07-17,Standard Class,AA-10375
536,US-2014-122637,2014-09-04,2014-09-09,Second Class,EP-13915
537,CA-2012-147851,2012-12-03,2012-12-08,Standard Class,MP-17470
538,CA-2012-134894,2012-12-07,2012-12-11,Standard Class,DK-12985
540,CA-2011-140795,2011-02-02,2011-02-04,First Class,BD-11500
541,CA-2013-136924,2013-07-15,2013-07-18,First Class,ES-14080
542,US-2012-120131,2012-12-18,2012-12-23,Standard Class,LM-17065
543,CA-2011-103849,2011-05-11,2011-05-16,Standard Class,PG-18895
546,CA-2014-162929,2014-11-20,2014-11-23,First Class,AS-10135
548,CA-2012-113173,2012-11-15,2012-11-17,Second Class,DK-13225
551,CA-2013-136406,2013-04-16,2013-04-18,Second Class,BD-11320
552,CA-2014-112774,2014-09-12,2014-09-13,First Class,RC-19960
553,CA-2014-101945,2014-11-25,2014-11-29,Standard Class,GT-14710
554,CA-2014-100650,2014-06-30,2014-07-04,Second Class,DK-13225
555,CA-2011-155852,2011-03-03,2011-03-07,Second Class,AJ-10945
556,CA-2013-113243,2013-06-11,2013-06-16,Standard Class,OT-18730
559,CA-2014-118731,2014-11-21,2014-11-23,Second Class,LP-17080
561,CA-2011-145576,2011-09-14,2011-09-18,Second Class,CA-12775
563,CA-2012-130736,2012-12-07,2012-12-09,First Class,JF-15490
565,CA-2014-137099,2014-12-08,2014-12-11,First Class,FP-14320
566,CA-2014-156951,2014-10-02,2014-10-09,Standard Class,EB-13840
570,CA-2014-164826,2014-12-29,2015-01-05,Standard Class,JF-15415
574,CA-2013-127250,2013-11-04,2013-11-08,Standard Class,SF-20200
575,CA-2012-149713,2012-09-18,2012-09-22,Second Class,TG-21640
578,CA-2014-118640,2014-07-21,2014-07-27,Standard Class,CS-11950
580,CA-2012-132906,2012-09-10,2012-09-14,Standard Class,CC-12145
581,CA-2014-145233,2014-12-02,2014-12-06,Standard Class,DV-13465
586,CA-2012-128139,2012-07-03,2012-07-09,Standard Class,BD-11725
588,US-2013-156986,2013-03-21,2013-03-25,Standard Class,ZC-21910
592,CA-2011-135405,2011-01-10,2011-01-14,Standard Class,MS-17830
594,CA-2011-131450,2011-08-08,2011-08-15,Standard Class,LR-16915
598,CA-2013-120180,2013-07-15,2013-07-17,First Class,TP-21130
599,US-2013-100720,2013-07-17,2013-07-22,Standard Class,CK-12205
602,CA-2011-149958,2011-03-15,2011-03-19,Standard Class,AS-10240
607,US-2011-105767,2011-05-23,2011-05-27,Standard Class,AR-10510
610,CA-2013-161816,2013-04-29,2013-05-02,First Class,NB-18655
612,CA-2013-121223,2013-09-12,2013-09-14,Second Class,GD-14590
614,CA-2014-138611,2014-11-15,2014-11-18,Second Class,CK-12595
616,CA-2014-117947,2014-08-19,2014-08-24,Second Class,NG-18355
621,US-2011-111171,2011-12-26,2011-12-31,Standard Class,CA-12265
622,CA-2012-138009,2012-11-29,2012-12-03,Standard Class,SF-20965
626,CA-2014-163020,2014-09-16,2014-09-20,Standard Class,MO-17800
627,CA-2014-153787,2014-05-20,2014-05-24,Standard Class,AT-10735
628,CA-2014-133431,2014-12-18,2014-12-22,Standard Class,LC-17140
630,US-2013-135720,2013-12-12,2013-12-14,Second Class,FM-14380
633,CA-2014-144694,2014-09-25,2014-09-27,Second Class,BD-11605
635,CA-2012-168004,2012-10-04,2012-10-09,Second Class,DJ-13420
636,US-2013-123470,2013-08-16,2013-08-22,Standard Class,ME-17725
638,CA-2013-115917,2013-05-21,2013-05-26,Standard Class,RB-19465
640,CA-2013-147067,2013-12-19,2013-12-23,Standard Class,JD-16150
641,CA-2014-167913,2014-07-31,2014-08-04,Second Class,JL-15835
643,CA-2014-106103,2014-06-11,2014-06-16,Standard Class,SC-20305
644,US-2014-127719,2014-07-22,2014-07-26,Standard Class,TW-21025
645,CA-2014-126221,2014-12-31,2015-01-06,Standard Class,CC-12430
646,CA-2013-103947,2013-04-02,2013-04-09,Standard Class,BB-10990
648,CA-2013-160745,2013-12-12,2013-12-17,Second Class,AR-10825
651,CA-2013-132661,2013-10-24,2013-10-30,Standard Class,SR-20740
652,CA-2014-140844,2014-06-20,2014-06-24,Standard Class,AR-10405
654,CA-2013-137239,2013-08-23,2013-08-29,Standard Class,CR-12730
657,US-2013-156097,2013-09-20,2013-09-20,Same Day,EH-14125
659,CA-2012-146563,2012-08-24,2012-08-28,Standard Class,CB-12025
663,CA-2013-123666,2013-03-27,2013-03-31,Standard Class,SP-20545
664,CA-2013-143308,2013-11-05,2013-11-05,Same Day,RC-19825
665,CA-2014-132682,2014-06-09,2014-06-11,Second Class,TH-21235
668,CA-2011-156314,2011-12-24,2011-12-26,First Class,RP-19390
669,US-2014-106663,2014-06-10,2014-06-14,Standard Class,MO-17800
672,CA-2014-111178,2014-06-16,2014-06-23,Standard Class,TD-20995
673,CA-2014-130351,2014-12-06,2014-12-09,First Class,RB-19570
676,US-2014-119438,2014-03-19,2014-03-24,Standard Class,CD-11980
680,CA-2013-164511,2013-11-20,2013-11-25,Standard Class,DJ-13630
683,US-2014-168116,2014-11-05,2014-11-05,Same Day,GT-14635
685,CA-2011-157784,2011-07-05,2011-07-08,First Class,MC-17845
688,CA-2014-161480,2014-12-26,2014-12-30,Standard Class,RA-19285
689,US-2011-117135,2011-06-21,2011-06-23,Second Class,NP-18325
692,CA-2012-131534,2012-03-28,2012-04-02,Standard Class,AB-10165
694,CA-2012-119291,2012-05-14,2012-05-17,First Class,JO-15550
701,CA-2014-114552,2014-09-03,2014-09-09,Standard Class,Dl-13600
702,CA-2013-163755,2013-11-05,2013-11-09,Second Class,AS-10285
703,CA-2012-142027,2012-04-09,2012-04-14,Standard Class,JK-15370
704,CA-2011-138527,2011-09-12,2011-09-17,Standard Class,BN-11470
707,CA-2011-112158,2011-12-02,2011-12-04,First Class,DP-13165
710,CA-2011-113887,2011-04-05,2011-04-07,First Class,TH-21550
711,CA-2014-146136,2014-09-04,2014-09-08,Standard Class,AP-10915
712,US-2014-100048,2014-05-20,2014-05-25,Standard Class,RS-19765
715,CA-2011-153150,2011-07-01,2011-07-06,Second Class,Dl-13600
716,CA-2011-130092,2011-01-12,2011-01-15,First Class,SV-20365
717,CA-2014-108910,2014-09-25,2014-09-30,Standard Class,KC-16540
718,CA-2011-104472,2011-06-02,2011-06-07,Standard Class,CK-12325
720,CA-2013-112942,2013-02-13,2013-02-18,Standard Class,RD-19810
721,CA-2013-142335,2013-12-16,2013-12-20,Standard Class,MP-17965
723,CA-2011-117429,2011-10-07,2011-10-13,Standard Class,MR-17545
724,CA-2013-114713,2013-07-08,2013-07-13,Standard Class,SC-20695
725,CA-2014-144113,2014-09-17,2014-09-21,Standard Class,JF-15355
727,US-2013-150861,2013-12-04,2013-12-07,First Class,EG-13900
732,CA-2014-131954,2014-01-22,2014-01-26,Standard Class,DS-13030
738,CA-2011-132500,2011-09-08,2011-09-12,Standard Class,GZ-14470
739,CA-2011-112326,2011-01-05,2011-01-09,Standard Class,PO-19195
742,US-2013-146710,2013-08-28,2013-09-02,Standard Class,SS-20875
746,CA-2011-124429,2011-05-27,2011-05-27,Same Day,MH-17785
748,CA-2013-150889,2013-03-21,2013-03-23,Second Class,PB-19105
749,CA-2014-126074,2014-10-03,2014-10-07,Standard Class,RF-19735
753,CA-2013-110499,2013-04-08,2013-04-10,First Class,YC-21895
754,CA-2012-135272,2012-12-07,2012-12-12,Standard Class,MS-17830
755,CA-2013-140928,2013-09-19,2013-09-23,Standard Class,NB-18655
756,CA-2011-106803,2011-12-29,2012-01-02,Standard Class,DC-13285
758,CA-2014-117240,2014-07-24,2014-07-29,Standard Class,CP-12340
759,CA-2014-133333,2014-09-19,2014-09-23,Standard Class,BF-11020
760,CA-2012-112319,2012-08-31,2012-09-05,Standard Class,AR-10510
761,CA-2014-126046,2014-11-04,2014-11-08,Standard Class,JC-16105
762,CA-2012-114923,2012-02-08,2012-02-13,Standard Class,LH-17020
763,CA-2011-162775,2011-01-14,2011-01-16,Second Class,CS-12250
768,CA-2011-106810,2011-05-14,2011-05-20,Standard Class,AJ-10795
769,CA-2013-157245,2013-05-20,2013-05-25,Standard Class,LE-16810
770,CA-2014-104220,2014-01-31,2014-02-06,Standard Class,BV-11245
776,CA-2011-165974,2011-06-29,2011-07-06,Standard Class,DL-12865
777,CA-2012-144267,2012-08-21,2012-08-23,First Class,NZ-18565
781,US-2012-157014,2012-10-03,2012-10-06,Second Class,BM-11785
785,CA-2012-154921,2012-05-23,2012-05-28,Standard Class,EA-14035
786,CA-2014-129567,2014-03-18,2014-03-22,Second Class,CL-12565
787,CA-2012-154620,2012-12-12,2012-12-16,Standard Class,LT-17110
788,CA-2012-115938,2012-06-26,2012-06-30,Standard Class,SA-20830
792,CA-2013-105256,2013-05-21,2013-05-21,Same Day,JK-15730
793,CA-2011-156433,2011-09-20,2011-09-26,Standard Class,ES-14020
795,CA-2014-151428,2014-09-22,2014-09-27,Standard Class,RH-19495
796,CA-2012-124653,2012-12-24,2012-12-26,First Class,DB-13120
799,CA-2012-101910,2012-11-27,2012-12-03,Standard Class,CD-11920
800,CA-2014-105809,2014-02-21,2014-02-24,First Class,HW-14935
802,CA-2013-136133,2013-08-19,2013-08-24,Second Class,HW-14935
803,CA-2013-115504,2013-03-13,2013-03-18,Standard Class,MC-18130
804,CA-2014-135783,2014-04-23,2014-04-25,First Class,GM-14440
805,CA-2011-134313,2011-11-01,2011-11-07,Standard Class,RA-19915
807,CA-2012-140921,2012-02-03,2012-02-05,First Class,AA-10375
809,CA-2011-151995,2011-10-13,2011-10-15,First Class,ZC-21910
813,CA-2014-143686,2014-05-15,2014-05-15,Same Day,PJ-19015
815,CA-2012-106565,2012-03-20,2012-03-23,First Class,BW-11110
816,CA-2013-149370,2013-09-16,2013-09-20,Standard Class,DB-13210
817,CA-2011-140858,2011-06-28,2011-07-02,Standard Class,CA-12775
